"Guid","AnnualRevenue","Assetphone__c","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Test_checkbox__c","Test_currency__c","Test_dateFields__c","Textfield__c","Title","Website"
00fb77cd-e4aa-4691-a203-cad56bae1ffa,"#N/A","#N/A","#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
01718262-cf28-4ae4-8bf0-f46409177eaa,"#N/A","#N/A","#N/A",bbb,"#N/A","#N/A","#N/A","#N/A",b,"#N/A","#N/A",false,true,"#N/A",bb,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
03e6c857-f9eb-461b-bf40-f72b7d095e06,"#N/A","#N/A","#N/A",any1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
064b0346-20f4-490f-a6b4-795183d9ad0f,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
105e41aa-5575-4464-955b-74c5a347bb8b,"#N/A","#N/A","#N/A",ANy,"#N/A","#N/A","#N/A","#N/A",Nov,"#N/A","#N/A",false,true,"#N/A",Lead1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
12dd4c41-77b7-4ccf-9ee8-dbaa32e51a60,"#N/A","#N/A","#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
175b8091-f344-416c-a0e4-d319ec9c8956,"#N/A","#N/A","#N/A",abc,"#N/A","#N/A","#N/A","#N/A",1,"#N/A","#N/A",false,true,"#N/A",2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
1843bfb0-83e1-454b-8d5f-d8e78a9ae1b5,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
1844e2c6-8b4d-4211-b704-1792ba0997fc,"#N/A","#N/A","#N/A",any1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",any,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
1901aedb-8ceb-4eb7-b2be-e576d8c153b9,"#N/A","#N/A","#N/A",Test Pvt Ltd,"#N/A","#N/A","#N/A","#N/A",Test,"#N/A","#N/A",false,true,"#N/A",Lead,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A"
